id,opensora2/human_action,Sora_cla/human_action,wan2.1_cla/human_action,wan2.2_cla/human_action,vidu_cla/human_action,Kling-1.6_cla/human_action,hunyuanvideo_cla/human_action,veo_3_cla/human_action,difficulty
A person is baby waking up,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is massaging legs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is brushing teeth,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is crawling baby,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is motorcycling,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is driving car,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is sticking tongue out,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is shaking head,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is sword fighting,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is doing aerobics,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,level0
A person is strumming guitar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is riding or walking with horse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is archery,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is catching or throwing baseball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is playing chess,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is rock scissors paper,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,level0
A person is using computer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is arranging flowers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is bending metal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is ice skating,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is climbing a rope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is crying,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is dancing ballet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is getting a haircut,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is running on treadmill,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is kissing,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is counting money,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is barbequing,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is peeling apples,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is milking cow,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is shining shoes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is making snowman,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
A person is sailing,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
