id,opensora2/spatial_relationship,Sora_cla/spatial_relationship,wan2.1_cla/spatial_relationship,wan2.2_cla/spatial_relationship,vidu_cla/spatial_relationship,Kling-1.6_cla/spatial_relationship,hunyuanvideo_cla/spatial_relationship,veo_3_cla/spatial_relationship,difficulty
"a train on the right of a boat, front view",0.9161480066759632,0.964736019095551,1.0,0.9287092058943636,0.9994368614118937,1.0,0.9963535987663981,1.0,level0
"a boat on the left of an airplane, front view",0.8125,0.9954344375431333,1.0,0.8291866897785318,0.8229504264830114,1.0,0.7602524051296492,1.0,level0
"an oven on the top of a toaster, front view",0.043258477696003134,0.6848772440961428,0,0.21470061289219247,0.32100721621699824,0.7174499674699875,0.5037740899857681,0.646506349442901,level0
"an oven on the bottom of a toaster, front view",0.27765001541401957,0.18094719676319992,0.023555300723634782,0.1948024350234177,0.5126232412349442,0.5073387405594157,0.5510629377727823,0.6304377760701175,level0
"a toaster on the top of a microwave, front view",0.1603591242255823,0.84375,1.0,0,0.71875,0.058519688174280535,0.8959902201341401,0.5884457667687457,level0
"a toaster on the bottom of a microwave, front view",0,0.873071588548269,1.0,0.5395786923334878,0.6835942159405252,0.18284959470079962,0.5533401679605914,0.791337601291358,level0
"a microwave on the top of an oven, front view",1.0,1.0,0.7994561544538196,1.0,0.9125,1.0,0.8471106695964361,0.9666420268824378,level0
"a microwave on the bottom of an oven, front view",0.7478887030213324,0.9933034099007729,0.5307198159244767,0.8954086227036558,0.4658801508542535,0.979436351568412,0.25603527120579267,0.6564797776903907,level0
"a banana on the top of an apple, front view",0.7870004846026737,0.9607268078902983,0.9802323798732802,1.0,0.36628183191400043,0.9604976964204943,0.6548114743373593,0.9328462270401507,level0
"a banana on the bottom of an apple, front view",0.5466852337799073,0.781959653193636,0.18662341386285528,0.6971938823182626,0.36356190291382295,0.8852887911152818,0.9566487933963022,0.970105041375908,level0
"an apple on the top of a sandwich, front view",0.7455814193599852,1.0,0.9791666666666666,0.5451826189965435,0.5514828314873783,0.9438191341212008,0.6934976296041354,1.0,level0
"an apple on the bottom of a sandwich, front view",0.5824122031990134,0.9512592219542079,0.021045784464865984,0.6154602295115398,0.4498682699265303,0.9375,0.8433728680970537,0.6431011674125418,level0
"a sandwich on the top of an orange, front view",1.0,0.8586339819885005,1.0,0.9993463338750542,0.8619718406593406,0.80008548172451,0.6374032393775741,1.0,level0
"a sandwich on the bottom of an orange, front view",0.7046471172131389,0.5339522093075899,1.0,0.7713902818108939,1.0,1.0,0.6291067316972414,0.9961475238950541,level0
"an orange on the top of a carrot, front view",0.7607224347257422,0.6776142799352751,1.0,0.9628195084087136,0.8331861185126634,1.0,0.562579483744944,1.0,level0
"an orange on the bottom of a carrot, front view",0.3694749240737631,1.0,0.8152009287148455,0.8800250511925374,0.6560609207303382,0.4681050439101268,0.5219453889764119,0.8776667272084188,level0
"a carrot on the top of a hot dog, front view",0.41218746773585824,0.42373196879988473,1.0,0.46210499861480264,0.500371025530029,0.3749717601070199,0.8343524470220178,0.9470460354472248,level0
"a carrot on the bottom of a hot dog, front view",0.45721041306715265,0.8777128212736403,0.6338280284937293,0.8594572158940418,0.4302956936856047,0.5313260226618293,0.34458392745748095,0.8061376251500438,level0
"a hot dog on the top of a pizza, front view",0.5091709392331021,0.7132761180739682,0.9805784690068489,0.9919115705684846,0.37933340535835974,0.571837250275262,0.8954563409178654,0.7258633498701619,level0
"a hot dog on the bottom of a pizza, front view",0.4954561090376718,0.7644988510365105,0.5280002774336288,0.546213358104584,0.3577130955396247,0.5628558542976946,0.7124117132813494,0.8380482493809651,level0
"a pizza on the top of a donut, front view",0.6117472150843846,0.9791666666666666,0.8544165372670808,0.8310383461589437,0.6096883010515151,0.9726362066510743,0.5886550901542044,0.8465939717878601,level0
"a pizza on the bottom of a donut, front view",0.614479621054771,0.9182322217912502,0.7889623498173396,1.0,0.024111850565843623,0.5228637629493312,0.728566905107475,0.8236334902390101,level0
"a donut on the top of broccoli, front view",1.0,0.791620002426698,0.8059665841456679,0.9927962662337663,0.6557826001220868,1.0,0.5462792206740289,0.9943781432562865,level0
"a donut on the bottom of broccoli, front view",0.994208318452381,0.5940343648464701,0.9720361443017459,0.9875,0.28910345501436807,1.0,0.6939821608884177,1.0,level0
"broccoli on the top of a banana, front view",1.0,0.9617289189395072,0.8345259525616744,0.6984487647641023,0.4877769506961423,0.984375,0.7397061604601242,0.8938248248078511,level0
"broccoli on the bottom of a banana, front view",1.0,0.6777778777627899,0.6515064634567719,0.5954906996633511,0.6605081595947222,0.9136726150978043,0.6892784263382155,0.818585977865981,level0
"skis on the top of a snowboard, front view",0.5240074626987238,0.1425956138028488,0.29420504683669946,0.0750113547605874,0.6436011093043208,0.48650591378144864,0.39711652858592295,0.3861010852061752,level0
"skis on the bottom of a snowboard, front view",0.7056079696216967,0.2601346990915365,0.18335009374208008,0.43246250618148013,0.3397863202462964,0.13519106460532446,0.1977387108672614,0.2793766212697442,level0
"a snowboard on the top of a kite, front view",0.7916932263739145,0.8691206699265177,0.9386306936663911,0.9884849157168206,0.30955798707688686,0.7320726060637313,0.24388620706550215,0.45439027360259787,level0
"a snowboard on the bottom of a kite, front view",0.9402946405892812,0.8354016317797303,0.594659731945644,0.7659425962636558,0.4278066080720316,0.8294999364209175,0.27476175872034636,0.6196851094714652,level0
"a kite on the top of a skateboard, front view",1.0,0.7041899154387107,0.9027326915028059,0.8173477554942281,0.7933171686161472,0.9081969295665178,0.9117561611042824,0.5793738975353806,level0
"a kite on the bottom of a skateboard, front view",0.8875,0.4100882365856233,0.6210365243099796,0.6119940858911515,0.1894061286728002,0.6997974204823245,0.8052174273513915,0.44448011685679606,level0
"a skateboard on the top of a surfboard, front view",0.6152905840559886,0.694323986071839,0.426820790632674,0.6595982491389598,0.5332163222886221,0.44487028778732146,0.4396466077083715,0.6033285227407226,level0
"a skateboard on the bottom of a surfboard, front view",0.5448198704691818,0.8463569429198212,0.7370448237686578,0.4929231812655467,0.642784355183007,0.6409472422074122,0.5447124138737129,0.25765743284289305,level0
"a surfboard on the top of skis, front view",0.17414981564687504,0.42960215424295123,0.07576879952081729,0.35379491552490033,0.7348303454112693,0.5098538753306491,0.5941732384608133,0.4554733084115838,level0
"a surfboard on the bottom of skis, front view",0.2531019547010437,0.322245148714384,0.43820276130392566,0.2303531315638002,0.12952061101533754,0.75,0.3661287854883891,0.26573964555783736,level0
